beta,repeat,generation,unique_ratio,similarity
100.0,0,380,0.288,0.3314175150862567
100.0,0,409,0.314,0.19358388326370485
100.0,0,497,0.276,0.21138491988720925
100.0,0,405,0.306,0.24329696256284092
100.0,0,109,0.64,0.16353803796861943
100.0,0,330,0.396,0.22558499794363865
100.0,0,401,0.314,0.28602227434674526
100.0,0,447,0.25,0.22374982366277615
100.0,0,39,0.712,0.1162262498676821
100.0,0,372,0.344,0.256609458467418
100.0,0,443,0.314,0.24439949429614422
100.0,0,489,0.294,0.300207003893844
100.0,0,87,0.648,0.1812149852644007
100.0,0,485,0.29,0.25908393637962207
100.0,0,189,0.4,0.25585486732435386
100.0,0,481,0.288,0.1808309741581774
100.0,0,82,0.466,0.20378776937853008
100.0,0,435,0.314,0.22496648722406315
100.0,0,139,0.486,0.19913625285424688
100.0,0,431,0.246,0.3734593133960117
100.0,0,135,0.554,0.1899219884784186
100.0,0,473,0.224,0.29895159166368424
100.0,0,177,0.434,0.1963685503510962
100.0,0,127,0.472,0.24672848656683422
100.0,0,123,0.536,0.19347114050761638
100.0,0,169,0.402,0.15846955507950258
100.0,0,55,0.746,0.14346047679957205
100.0,0,461,0.3,0.22251122043390825
100.0,0,165,0.382,0.26048060801197387
100.0,0,161,0.524,0.15704640097302952
100.0,0,278,0.396,0.20377224663643795
100.0,0,50,0.82,0.19296817871107444
100.0,0,115,0.484,0.29276676853429406
100.0,0,111,0.558,0.25048219282084866
100.0,0,228,0.368,0.2043128801710709
100.0,0,153,0.484,0.19717639399754205
100.0,0,224,0.336,0.21125194951042173
100.0,0,58,0.72,0.15877408823235478
100.0,0,195,0.416,0.25335628292413775
100.0,0,266,0.406,0.2982161464568346
100.0,0,191,0.342,0.2850226402210171
100.0,0,216,0.41,0.207673752316163
100.0,0,23,0.838,0.14636591034772067
100.0,0,141,0.558,0.18204049886412843
100.0,0,212,0.368,0.23169617610034682
100.0,0,258,0.352,0.315940751381678
100.0,0,329,0.424,0.25497429259193977
100.0,0,183,0.452,0.17994056155255078
